cte, steering
0.7599,-1
0.7599,-0.243168
0.7599,-0.250767
0.7599,-0.258366
0.7601,-0.270027
0.7601,-0.273628
0.7603,-0.285291
0.7604,-0.290925
0.7607,-0.302622
0.7611,-0.312353
0.7614,-0.318057
0.7617,-0.325764
0.762,-0.333474
0.7622,-0.339156
0.7623,-0.344809
0.7626,-0.356525
0.7627,-0.360182
0.7628,-0.36784
0.763,-0.37753
0.7631,-0.383191
0.7632,-0.390853
0.7632,-0.396485
0.7632,-0.404117
0.7631,-0.409718
0.7629,-0.415287
0.7628,-0.424885
0.7626,-0.430451
0.7625,-0.440046
0.762,-0.439516
0.7617,-0.451043
0.7614,-0.458567
0.761,-0.464057
0.7591,-0.441078
0.7573,-0.450111
0.7451,-0.245902
0.7443,-0.481105
0.7447,-0.512672
0.7442,-0.501964
0.7422,-0.478786
0.7409,-0.499805
0.7381,-0.476346
0.7367,-0.511293
0.7353,-0.518226
0.7337,-0.521083
0.73,-0.485273
0.7261,-0.487364
0.7242,-0.534036
0.7222,-0.538658
0.7177,-0.494485
0.7151,-0.538856
0.7126,-0.547232
0.7072,-0.494684
0.7042,-0.548826
0.6984,-0.49807
0.6922,-0.495132
0.6892,-0.565124
0.6831,-0.508125
0.6801,-0.576026
0.6749,-0.537215
0.6725,-0.59922
0.6693,-0.588953
0.6683,-0.639336
0.6579,-0.454795
0.6491,-0.490646
0.6433,-0.555339
0.6388,-0.586377
0.634,-0.585277
0.6286,-0.577943
0.6257,-0.63333
0.6163,-0.506673
0.6126,-0.625689
0.6055,-0.561614
0.5972,-0.541096
0.5931,-0.629797
0.5843,-0.539
0.5744,-0.519774
0.5695,-0.623999
0.5594,-0.522563
0.548,-0.498623
0.5425,-0.620398
0.5316,-0.514444
0.5197,-0.496071
0.5077,-0.495548
0.4956,-0.494874
0.4895,-0.617939
0.4703,-0.354882
0.4627,-0.589229
0.4501,-0.48995
0.4366,-0.472266
0.4227,-0.464323
0.4157,-0.60438
0.4017,-0.464197
0.386,-0.429347
0.3783,-0.59082
0.3624,-0.425674
0.3449,-0.391873
0.3365,-0.574718
0.3208,-0.427216
0.3123,-0.571789
0.2956,-0.405735






































